glass_name,filter_mode,property_mode,distance_first,distance_mean_top20,composition_variance,family_entropy,effective_neighbors,uncertainty_score,composition_completeness,physically_plausible,high_uncertainty,comp_exp_weight,comp_idw,comp_cluster_kmeans,scenario
N-LAK7,adaptive,B,0.03533780037209765,0.053556799653739086,14.270759304917416,0.0,20,0.7642961970001949,1.0,False,True,SIO2=26.35; B2O3=35.95; BAO=36.81; RO=37.02; R2O3=36.50; RmOn=100.00,SIO2=26.28; B2O3=36.01; BAO=36.82; RO=37.03; R2O3=36.56; RmOn=100.00,SIO2=6.09; B2O3=53.43; BAO=40.48; RO=40.48; R2O3=53.43; RmOn=100.00,adaptive_B
N-LAK22,adaptive,B,0.027524930542090098,0.08411713189873071,66.9067578001549,0.8568409950394724,20,5.6280045707920605,1.0,False,True,SIO2=44.00; AL2O3=0.94; B2O3=16.68; BAO=25.23; P2O5=3.78; ZRO2=0.90; RO=28.99; R2O3=21.20; RO2=0.90; R2O5=4.91; RmOn=100.00,SIO2=44.94; AL2O3=0.84; B2O3=16.70; BAO=24.98; P2O5=3.36; ZRO2=1.11; RO=28.32; R2O3=21.23; RO2=1.11; R2O5=4.40; RmOn=100.00,SIO2=55.96; B2O3=11.23; BAO=27.62; ZRO2=1.38; RO=27.62; R2O3=15.04; RO2=1.38; RmOn=100.00,adaptive_B
N-SF2,adaptive,B,0.02131168209258269,0.04212142183620743,6.246623980277185,0.0,20,0.2631166837254244,1.0,False,True,SIO2=53.60; B2O3=1.24; K2O=1.42; NA2O=21.25; Li2O=1.93; TIO2=19.54; RO=0.55; R2O=24.60; R2O3=1.49; RO2=19.70; RmOn=100.00,SIO2=53.59; B2O3=1.30; K2O=1.47; NA2O=21.18; Li2O=1.92; TIO2=19.55; RO=0.54; R2O=24.57; R2O3=1.53; RO2=19.70; RmOn=100.00,SIO2=45.64; B2O3=3.80; K2O=3.25; NA2O=26.40; TIO2=20.22; R2O=29.65; R2O3=3.84; RO2=20.22; RmOn=100.00,adaptive_B
SF2,adaptive,B,0.002321680472709644,0.022750221548655518,19.45051900346388,0.1985152433458726,16,0.44250361656513765,1.0,False,True,SIO2=68.53; K2O=6.44; NA2O=1.64; PBO=22.77; RO=22.98; R2O=8.07; RmOn=100.00,SIO2=67.98; K2O=6.57; NA2O=1.67; PBO=22.54; GEO2=0.57; RO=23.02; R2O=8.24; RO2=0.57; RmOn=100.00,SIO2=68.97; K2O=7.28; PBO=22.90; RO=23.23; R2O=7.65; RmOn=100.00,adaptive_B
N-LAK21,adaptive,B,0.022969598982113194,0.036102554466920234,15.781014813868628,0.0,20,0.5697349468609673,1.0,False,True,SIO2=24.25; B2O3=40.46; BAO=35.30; RO=35.30; R2O3=40.46; RmOn=100.00,SIO2=24.37; B2O3=40.35; BAO=35.28; RO=35.28; R2O3=40.35; RmOn=100.00,SIO2=37.90; B2O3=29.33; BAO=32.76; RO=32.76; R2O3=29.33; RmOn=100.00,adaptive_B
N-KZFS11,adaptive,B,0.03371958415149838,0.09395053641589288,97.71893955530614,1.303450812836454,20,9.180746789213224,1.0,False,True,SIO2=18.93; AL2O3=4.67; B2O3=33.52; CAO=1.78; K2O=0.61; NA2O=3.19; PBO=6.15; Li2O=0.97; SRO=4.09; BAO=2.55; ZNO=7.96; P2O5=8.90; ZRO2=0.91; TIO2=2.71; RO=22.57; R2O=4.78; R2O3=39.04; RO2=3.65; R2O5=11.03; RmOn=100.00,SIO2=18.12; AL2O3=4.44; B2O3=31.89; CAO=1.69; K2O=0.59; NA2O=3.07; PBO=5.85; Li2O=1.36; SRO=5.24; BAO=2.48; ZNO=7.57; P2O5=10.85; ZRO2=0.87; TIO2=2.60; RO=22.88; R2O=5.01; R2O3=37.13; RO2=3.50; R2O5=13.35; RmOn=100.00,Li2O=6.76; SRO=20.29; BAO=6.47; P2O5=56.47; RO=26.76; R2O=6.76; R2O5=66.47; RmOn=100.00,adaptive_B
N-SSK20,adaptive,B,0.015778836985158293,0.04812531090007278,66.01626820568569,0.0,20,3.1770534318612134,1.0,False,True,SIO2=42.61; AL2O3=0.56; B2O3=14.40; CAO=2.54; K2O=2.31; NA2O=5.84; PBO=0.80; Li2O=1.93; BAO=8.66; ZNO=11.98; ZRO2=1.45; TIO2=1.37; RO=25.02; R2O=10.09; R2O3=17.01; RO2=3.23; RF3=1.85; RHaln=1.97; RmOn=98.03,SIO2=44.35; B2O3=12.56; CAO=2.33; K2O=2.41; NA2O=6.02; PBO=0.70; Li2O=1.92; BAO=8.21; ZNO=12.93; ZRO2=1.65; TIO2=1.27; RO=25.06; R2O=10.35; R2O3=15.14; RO2=3.31; RF3=1.60; RHaln=1.71; RmOn=98.29,SIO2=53.81; B2O3=2.71; CAO=1.86; K2O=2.93; NA2O=7.07; Li2O=2.34; BAO=7.42; ZNO=15.77; ZRO2=2.02; TIO2=1.28; RO=25.05; R2O=12.34; R2O3=4.94; RO2=3.77; RmOn=100.00,adaptive_B
N-SSK2,adaptive,B,0.02001650795728036,0.06790596442855554,92.36966857917216,0.42270908780599087,20,6.272451428814729,1.0,False,True,SIO2=31.14; AL2O3=1.48; B2O3=17.26; CAO=5.18; NA2O=1.83; Li2O=2.38; MgO=3.56; BAO=13.89; ZNO=2.18; P2O5=6.69; GEO2=8.77; TIO2=1.32; RO=26.20; R2O=4.67; R2O3=20.62; RO2=10.16; R2O5=7.13; RmOn=99.92,SIO2=32.40; AL2O3=1.58; B2O3=16.32; CAO=5.93; NA2O=1.68; Li2O=2.17; MgO=3.24; BAO=13.75; ZNO=2.17; P2O5=6.52; GEO2=8.81; TIO2=1.44; RO=26.36; R2O=4.28; R2O3=19.61; RO2=10.35; R2O5=6.93; RmOn=99.93,SIO2=45.69; AL2O3=2.24; B2O3=8.89; CAO=8.44; K2O=0.61; NA2O=1.97; Li2O=3.10; BAO=19.58; ZNO=3.09; P2O5=3.57; TIO2=1.29; RO=31.34; R2O=5.67; R2O3=11.77; RO2=1.43; R2O5=3.99; RmOn=99.90,adaptive_B
F2G12,adaptive,B,0.010444769990941495,0.019172358161263656,3.346792559796309,0.0,20,0.06416590564786724,1.0,False,True,SIO2=69.45; K2O=6.86; NA2O=2.07; PBO=21.10; RO=21.20; R2O=9.16; RmOn=100.00,SIO2=69.43; K2O=6.85; NA2O=2.09; PBO=21.11; RO=21.21; R2O=9.17; RmOn=100.00,SIO2=71.24; K2O=7.61; NA2O=1.30; PBO=19.45; RO=19.45; R2O=9.18; RmOn=100.00,adaptive_B
N-SK16,adaptive,B,0.001524222635551186,0.040042582066784176,20.674703238151352,0.3250829733914482,20,0.827868501120084,1.0,False,True,SIO2=41.02; AL2O3=0.95; B2O3=23.49; BAO=29.10; P2O5=3.34; RO=29.64; R2O3=25.45; R2O5=3.34; RmOn=99.99,SIO2=42.63; AL2O3=1.25; B2O3=24.38; BAO=28.62; ZNO=0.52; P2O5=1.49; RO=29.22; R2O3=26.18; R2O5=1.49; RmOn=99.97,SIO2=45.13; AL2O3=1.33; B2O3=24.21; BAO=28.15; ZNO=0.55; RO=28.79; R2O3=25.74; RmOn=99.97,adaptive_B
