glass_name,filter_mode,property_mode,rank,sciglass_id,distance,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_RO,oxide_FemOn,oxide_R2O,oxide_R2O3,oxide_RO2,oxide_RO3,oxide_RO4,oxide_R2O5,oxide_RF,oxide_RF2,oxide_RF3,oxide_RF4,oxide_RF5,oxide_RHal,oxide_RHal2,oxide_RHal3,oxide_RHal4,oxide_RHal5,oxide_RHaln,oxide_RmOn,oxide_RmNn,scenario
P-SF68,adaptive,B,5,3837600455476,0.04329727851521464,0.0,0.0,63.6034049987793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999237060548,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999237060548,0.0,adaptive_B
P-SF68,adaptive,B,6,3304900407412,0.04561430044480789,7.977785110473633,0.0,15.995342254638672,0.0,0.0,0.0,0.0,5.001502990722656,0.0,0.0,4.992521286010742,9.98745059967041,0.0,30.90814781188965,0.0,0.0,0.0,14.979971885681152,0.0,5.001502990722656,41.13259506225586,30.90814781188965,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,7,498300016610,0.05046791209179721,0.0,0.0,51.12510681152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.321331024169922,0.0,0.0,0.0,0.0,0.0,0.0,13.321331024169922,0.0,0.0,86.67866516113281,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,8,3837600455444,0.05281796393114937,0.0,0.0,55.1407470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.861199855804443,0.0,0.0,0.0,0.0,0.0,7.861199855804443,0.0,0.0,91.17353057861328,0.0,0.0,,0.9652693271636964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,9,3304900407422,0.056361566182556735,6.079494953155518,0.0,15.97899055480957,0.0,0.0,0.0,0.0,5.026276588439941,0.0,2.01224422454834,2.987048864364624,8.975478172302246,0.0,30.89523124694824,0.0,1.996315836906433,0.0,13.974771499633787,0.0,5.026276588439941,42.02790451049805,32.89154815673828,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999237060548,0.0,adaptive_B
P-SF68,adaptive,B,10,3304900407419,0.05727878649324473,7.418068885803223,0.0,15.93862247467041,0.0,0.0,4.983186721801758,0.0,0.0,1.9731076955795288,0.0,2.979304075241089,9.95270538330078,0.0,30.79744911193848,0.0,0.0,0.0,14.90511703491211,0.0,4.983186721801758,41.896183013916016,30.79744911193848,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,11,3304900407421,0.059842260218194006,7.064846992492676,0.0,15.982377052307127,0.0,0.0,0.0,0.0,5.017334938049316,0.0,0.0,4.995107650756836,9.987128257751465,0.0,30.90869903564453,0.0,0.0,0.0,14.9822359085083,0.0,5.017334938049316,40.53101348876953,30.90869903564453,1.4958685636520386,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,12,3913900462535,0.06160845009179061,0.0,0.0,60.619998931884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3799999952316284,0.0,0.0,0.0,0.0,0.0,99.62000274658205,0.3799999952316284,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,13,3555300427495,0.06300040620403306,21.10912322998047,10.554561614990234,26.29695701599121,0.0,0.0,0.0,0.0,2.5939176082611084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5939176082611084,76.29695129394531,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,14,3913900462552,0.06361752420486833,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,15,3555300427485,0.06597735342320968,18.18181800842285,9.090909004211426,31.81818199157715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818389892578,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
