glass_name,matched_sciglass_id,distance,predicted_composition,composition_std,glass_family,oxide_sum_pct,physically_plausible,high_uncertainty,n_neighbors_for_mean
SF57,2823100362585,0.08540406079473463,SIO2=48.00; B2O3=0.96; K2O=0.79; NA2O=0.88; PBO=38.55; ZNO=0.51; GEO2=1.26; ZRO2=1.01; TIO2=1.32; TEO2=4.00; RO=39.27,"{""SIO2"": 13.414, ""AL2O3"": 0.0, ""B2O3"": 3.002, ""CAO"": 0.0, ""K2O"": 0.422, ""NA2O"": 0.464, ""PBO"": 13.538, ""Li2O"": 0.915, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.94, ""ZNO"": 1.923, ""P2O5"": 0.0, ""GEO2"": 5.618, ""ZRO2"": 1.689, ""TIO2"": 2.327, ""TEO2"": 17.889, ""RO"": 11.857, ""FemOn"": 0.0}",flint,136.9634909301996,False,True,20
SF57HTultra,2823100362585,0.08540406079473463,SIO2=48.00; B2O3=0.96; K2O=0.79; NA2O=0.88; PBO=38.55; ZNO=0.51; GEO2=1.26; ZRO2=1.01; TIO2=1.32; TEO2=4.00; RO=39.27,"{""SIO2"": 13.414, ""AL2O3"": 0.0, ""B2O3"": 3.002, ""CAO"": 0.0, ""K2O"": 0.422, ""NA2O"": 0.464, ""PBO"": 13.538, ""Li2O"": 0.915, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.94, ""ZNO"": 1.923, ""P2O5"": 0.0, ""GEO2"": 5.618, ""ZRO2"": 1.689, ""TIO2"": 2.327, ""TEO2"": 17.889, ""RO"": 11.857, ""FemOn"": 0.0}",flint,136.9634909301996,False,True,20
N-LASF41,4234000489385,0.222452920033132,SIO2=14.06; AL2O3=2.50; B2O3=30.84; Li2O=1.70; BAO=2.94; ZNO=14.33; ZRO2=4.15; RO=17.36,"{""SIO2"": 5.444, ""AL2O3"": 11.18, ""B2O3"": 9.553, ""CAO"": 0.383, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 1.053, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 8.335, ""ZNO"": 8.453, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 1.705, ""TIO2"": 0.768, ""TEO2"": 0.079, ""RO"": 7.584, ""FemOn"": 0.0}",uncertain,88.1505423784256,False,True,20
N-LASF40,3481600409420,0.09556420382503296,SIO2=2.61; B2O3=39.76; CAO=4.35; Li2O=0.71; ZNO=20.80; GEO2=2.01; ZRO2=4.82; TIO2=1.11; RO=25.16,"{""SIO2"": 1.461, ""AL2O3"": 0.0, ""B2O3"": 1.994, ""CAO"": 2.429, ""K2O"": 0.155, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 0.254, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.0, ""ZNO"": 2.604, ""P2O5"": 0.0, ""GEO2"": 1.828, ""ZRO2"": 1.636, ""TIO2"": 0.43, ""TEO2"": 0.0, ""RO"": 0.189, ""FemOn"": 0.0}",uncertain,101.51906529068945,True,True,3
SF6G05,2619800198758,0.04756610459436976,SIO2=44.13; B2O3=0.58; K2O=1.42; NA2O=2.73; PBO=32.19; Li2O=2.75; BAO=2.93; P2O5=3.20; ZRO2=0.57; TIO2=0.78; RO=35.20,"{""SIO2"": 22.774, ""AL2O3"": 0.0, ""B2O3"": 1.285, ""CAO"": 0.0, ""K2O"": 0.722, ""NA2O"": 3.122, ""PBO"": 16.836, ""Li2O"": 5.654, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 6.023, ""ZNO"": 0.363, ""P2O5"": 6.578, ""GEO2"": 0.0, ""ZRO2"": 1.3, ""TIO2"": 1.378, ""TEO2"": 0.0, ""RO"": 11.065, ""FemOn"": 0.0}",flint,126.57770256102086,False,True,20
N-LASF43,3481600409423,0.3031051998714913,SIO2=1.45; B2O3=42.06; CAO=6.67; ZNO=18.37; GEO2=3.57; ZRO2=3.03; TIO2=0.78; RO=25.04,"{""SIO2"": 0.0, ""AL2O3"": 0.0, ""B2O3"": 0.0, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 0.0, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.0, ""ZNO"": 0.0, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 0.0, ""TIO2"": 0.0, ""TEO2"": 0.0, ""RO"": 0.0, ""FemOn"": 0.0}",uncertain,101.66246110200882,True,True,1
P-LASF47,3194900405325,0.029564951495397805,SIO2=7.91; B2O3=33.99; Li2O=6.54; ZNO=29.64; ZRO2=3.35; RO=29.64,"{""SIO2"": 2.25, ""AL2O3"": 0.484, ""B2O3"": 2.193, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 1.417, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.0, ""ZNO"": 2.61, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 1.554, ""TIO2"": 0.596, ""TEO2"": 0.0, ""RO"": 2.61, ""FemOn"": 0.0}",uncertain,111.49868656396865,False,True,20
N-SF6,3784300447203,0.14785100879849927,SIO2=47.24; CAO=4.34; K2O=4.30; NA2O=11.78; BAO=2.64; TIO2=23.35; RO=6.98,"{""SIO2"": 0.0, ""AL2O3"": 0.0, ""B2O3"": 0.0, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 0.0, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.0, ""ZNO"": 0.0, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 0.0, ""TIO2"": 0.0, ""TEO2"": 0.0, ""RO"": 0.0, ""FemOn"": 0.0}",heavy flint,100.62986707687378,True,True,1
N-SF6HT,3784300447203,0.14785100879849927,SIO2=47.24; CAO=4.34; K2O=4.30; NA2O=11.78; BAO=2.64; TIO2=23.35; RO=6.98,"{""SIO2"": 0.0, ""AL2O3"": 0.0, ""B2O3"": 0.0, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 0.0, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.0, ""ZNO"": 0.0, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 0.0, ""TIO2"": 0.0, ""TEO2"": 0.0, ""RO"": 0.0, ""FemOn"": 0.0}",heavy flint,100.62986707687378,True,True,1
N-SF6HTultra,3784300447203,0.14785100879849927,SIO2=47.24; CAO=4.34; K2O=4.30; NA2O=11.78; BAO=2.64; TIO2=23.35; RO=6.98,"{""SIO2"": 0.0, ""AL2O3"": 0.0, ""B2O3"": 0.0, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 0.0, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.0, ""ZNO"": 0.0, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 0.0, ""TIO2"": 0.0, ""TEO2"": 0.0, ""RO"": 0.0, ""FemOn"": 0.0}",heavy flint,100.62986707687378,True,True,1
SF6,2619800198758,0.0020970522600944823,SIO2=46.89; B2O3=0.51; K2O=1.37; NA2O=2.36; PBO=33.90; Li2O=2.46; BAO=2.21; P2O5=2.41; ZRO2=0.57; TIO2=0.78; RO=36.19,"{""SIO2"": 20.362, ""AL2O3"": 0.0, ""B2O3"": 1.28, ""CAO"": 0.0, ""K2O"": 0.692, ""NA2O"": 2.799, ""PBO"": 15.035, ""Li2O"": 5.192, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 5.398, ""ZNO"": 0.363, ""P2O5"": 5.9, ""GEO2"": 0.0, ""ZRO2"": 1.3, ""TIO2"": 1.378, ""TEO2"": 0.0, ""RO"": 9.943, ""FemOn"": 0.0}",flint,129.7546861320734,False,True,20
SF6HT,2619800198758,0.0020970522600944823,SIO2=46.89; B2O3=0.51; K2O=1.37; NA2O=2.36; PBO=33.90; Li2O=2.46; BAO=2.21; P2O5=2.41; ZRO2=0.57; TIO2=0.78; RO=36.19,"{""SIO2"": 20.362, ""AL2O3"": 0.0, ""B2O3"": 1.28, ""CAO"": 0.0, ""K2O"": 0.692, ""NA2O"": 2.799, ""PBO"": 15.035, ""Li2O"": 5.192, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 5.398, ""ZNO"": 0.363, ""P2O5"": 5.9, ""GEO2"": 0.0, ""ZRO2"": 1.3, ""TIO2"": 1.378, ""TEO2"": 0.0, ""RO"": 9.943, ""FemOn"": 0.0}",flint,129.7546861320734,False,True,20
N-LASF44,2852200365622,0.11821146735054337,SIO2=8.01; B2O3=52.01; BAO=0.55; ZNO=3.01; ZRO2=8.15; TIO2=0.70; RO=3.76,"{""SIO2"": 4.883, ""AL2O3"": 0.0, ""B2O3"": 5.479, ""CAO"": 0.243, ""K2O"": 0.131, ""NA2O"": 0.101, ""PBO"": 0.0, ""Li2O"": 0.228, ""MgO"": 0.388, ""SRO"": 0.09, ""BAO"": 1.157, ""ZNO"": 3.088, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 1.869, ""TIO2"": 1.214, ""TEO2"": 0.0, ""RO"": 3.503, ""FemOn"": 0.0}",lanthanum,76.52267799377442,False,True,20
