glass_name,rank,sciglass_id,distance_euclidean_z,distance_cosine,distance_mahalanobis,glass_family,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_RO,oxide_FemOn,sg_ND300,sg_NUD300,sg_DENSITY,sg_TG,oxide_sum_pct,oxide_sum_ok,has_negative,physically_plausible
P-SF68,6,3304900407421,0.13412740550829283,0.0001540286696790627,0.17628160612119353,lanthanum,7.064846992492676,0.0,15.982377052307127,0.0,0.0,0.0,0.0,5.017334938049316,0.0,0.0,4.995107650756836,9.987128257751465,0.0,30.90869903564453,0.0,0.0,0.0,14.9822359085083,0.0,1.9900000095367432,21.26000022888184,6.099999904632568,434.0,88.93772983551025,False,False,False
P-SF68,7,3555300427495,0.14319982218983307,0.0008292909246783164,0.18698109570615815,uncertain,21.10912322998047,10.554561614990234,26.29695701599121,0.0,0.0,0.0,0.0,2.5939176082611084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007999897003174,19.450000762939453,6.162000179290772,417.0,60.55455946922302,False,False,False
P-SF68,8,3555300427485,0.14398501581735249,0.0005935220104819061,0.09626330959410546,uncertain,18.18181800842285,9.090909004211426,31.81818199157715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0199999809265137,19.5,6.256999969482422,433.0,59.090909004211426,False,False,False
P-SF68,9,3304900407418,0.15399720759202748,0.00013678805061023702,0.1842224930108955,lanthanum,7.061156272888184,0.0,16.00652503967285,0.0,0.0,0.0,0.0,4.996821403503418,0.0,0.0,4.98784875869751,9.978102684020996,0.0,30.914031982421875,0.0,0.0,0.0,14.965951919555664,0.0,1.9889999628067017,21.56999969482422,6.099999904632568,437.0,88.9104380607605,False,False,False
P-SF68,10,3555300427494,0.16975592983848223,0.0010870753108627174,0.3009087749727535,uncertain,22.202486038208008,11.101243019104004,27.79751205444336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99399995803833,20.020000457763672,6.104000091552734,441.0,61.10124111175537,False,False,False
P-SF68,11,3304900407420,0.20432872768219065,0.0009640976483753505,0.25215225336176367,lanthanum,7.075247764587402,0.0,15.9799222946167,3.0000598430633545,1.9972649812698364,0.0,0.0,3.0269405841827397,2.019737243652344,0.0,0.0,9.97960376739502,0.0,30.885032653808597,0.0,0.0,0.0,14.999401092529297,0.0,1.9900000095367432,20.670000076293945,6.0,432.0,88.96321022510529,False,False,False
P-SF68,12,3555300427491,0.23361618117246882,0.0012333957038414,0.29156888247025614,uncertain,16.661113739013672,8.330556869506836,20.826391220092773,16.661113739013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.661113739013672,0.0,2.0350000858306885,18.3799991607666,6.2170000076293945,424.0,79.14028930664062,False,False,False
P-SF68,13,4475300610438,0.2492314205371049,0.002362756150872225,0.7255324405535297,flint,40.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1.965000033378601,20.5,6.140999794006348,439.0,145.0,False,False,False
P-SF68,14,4475300610439,0.2536331466030053,0.003061547377796625,0.7927304029474961,flint,37.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1.9700000286102293,19.600000381469727,6.165999889373779,443.0,142.0,False,False,False
P-SF68,15,2823100362592,0.32673066510561644,0.005572838901695021,0.5771258327320596,flint,35.52430725097656,0.0,6.131706237792969,0.0,0.7553233504295349,0.0,48.38871765136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.907049179077148,0.0,48.38871765136719,0.0,1.9800000190734863,18.90999984741211,6.119999885559082,400.0,148.0958213210106,False,False,False
P-SF68,16,4475300610442,0.3408444130009633,0.006566275119647136,0.7413973075917428,flint,28.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1.9919999837875368,18.600000381469727,6.247000217437744,460.0,133.0,False,False,False
P-SF68,17,4475300610441,0.34567978554002515,0.006206706060467138,0.8033567048905795,flint,31.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1.9800000190734863,19.100000381469727,6.181000232696533,460.0,136.0,False,False,False
P-SF68,18,3555300427492,0.3561015724543876,0.0016999155961939794,0.43585595265774946,uncertain,17.385257720947266,8.692628860473633,21.73157119750977,8.692628860473633,0.0,0.0,0.0,4.346314430236816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.692628860473633,0.0,2.0380001068115234,18.270000457763672,6.265999794006348,401.0,69.54102993011475,False,False,False
