glass_name,composition_source,matched_sciglass_id,distance_first,distance_mean_top20,jaccard_mode_a_b,jaccard_label,predicted_composition,composition_pls,composition_xgb,composition_gpr,local_pls_cv_mse,local_xgb_cv_mse,local_gpr_cv_mse,composition_variance_neighbors,uncertainty_score,family_entropy,best_neighbor_plausible,plausible_ratio_top20,plausible_ratio_top5,n_neighbors_used,stable_neighbor_count
SF6,best_neighbor_mode_b,2619800198758,0.0009873577052632908,0.05989480907533314,0.1111111111111111,ill_posed,SIO2=57.36; K2O=1.34; NA2O=1.02; PBO=40.16; RO=40.16,SIO2=28.25; B2O3=8.76; K2O=1.93; NA2O=1.74; PBO=18.59; Li2O=1.29; BAO=4.27; P2O5=1.53; TEO2=7.80; RO=24.05,SIO2=35.30; B2O3=1.08; K2O=3.08; PBO=24.98; BAO=3.41; RO=31.74,SIO2=28.25; B2O3=8.76; K2O=1.93; NA2O=1.74; PBO=18.59; Li2O=1.29; BAO=4.27; P2O5=1.53; TEO2=7.80; RO=24.05,34.367480036969226,5.8094276591450855,,133.54078049866519,7.9983995517385225,0.8556886672556694,False,0.0,0.0,20,4
SF6HT,best_neighbor_mode_b,2619800198758,0.0009873577052632908,0.05989480907533314,0.1111111111111111,ill_posed,SIO2=57.36; K2O=1.34; NA2O=1.02; PBO=40.16; RO=40.16,SIO2=28.25; B2O3=8.76; K2O=1.93; NA2O=1.74; PBO=18.59; Li2O=1.29; BAO=4.27; P2O5=1.53; TEO2=7.80; RO=24.05,SIO2=35.30; B2O3=1.08; K2O=3.08; PBO=24.98; BAO=3.41; RO=31.74,SIO2=28.25; B2O3=8.76; K2O=1.93; NA2O=1.74; PBO=18.59; Li2O=1.29; BAO=4.27; P2O5=1.53; TEO2=7.80; RO=24.05,34.367480036969226,5.8094276591450855,,133.54078049866519,7.9983995517385225,0.8556886672556694,False,0.0,0.0,20,4
N-LASF44,best_neighbor_mode_b,4025800474348,0.047732437876598664,0.07808905038638024,0.0,ill_posed,SIO2=44.67; B2O3=12.53; Li2O=3.14; ZNO=9.89; ZRO2=6.21; RO=9.89,SIO2=8.36; B2O3=66.35; BAO=0.78; ZNO=6.02; ZRO2=10.91; TIO2=0.73; RO=6.53,SIO2=5.20; B2O3=63.90; ZNO=8.03; ZRO2=10.74; TIO2=0.80; RO=10.58,SIO2=8.36; B2O3=66.35; BAO=0.78; ZNO=6.02; ZRO2=10.91; TIO2=0.73; RO=6.53,8.232234902983597,1.7451415065887987,,21.815289129430965,1.7035352120215879,0.6474466390346325,False,0.0,0.0,20,0
N-LASF45,best_neighbor_mode_b,847400066500,0.009835567852984853,0.03740032724365339,0.08108108108108109,ill_posed,SIO2=21.66; B2O3=21.18; CAO=30.94; MgO=2.15; ZRO2=4.22; TIO2=10.86; RO=33.09,SIO2=27.28; CAO=27.70; MgO=0.62; ZNO=3.31; ZRO2=1.93; TIO2=6.95; RO=31.59,SIO2=21.16; B2O3=11.44; CAO=25.73; MgO=0.69; ZRO2=2.46; TIO2=8.24; RO=29.37,SIO2=27.28; CAO=27.70; MgO=0.62; ZNO=3.31; ZRO2=1.93; TIO2=6.95; RO=31.59,10.753272038983804,2.2458436808353297,,33.2294207424869,1.242791209886054,0.6474466390346325,False,0.0,0.0,20,3
N-LAF21,best_neighbor_mode_b,2980700400283,0.036979342618338,0.06598968984489959,0.02564102564102564,ill_posed,SIO2=6.53; B2O3=54.46; ZNO=6.43; ZRO2=7.43; RO=6.43,SIO2=14.79; B2O3=51.27; BAO=4.01; ZNO=7.61; P2O5=2.26; ZRO2=10.17; TIO2=1.28; RO=8.18,SIO2=9.76; B2O3=65.88; ZNO=7.19; ZRO2=8.26; RO=8.24,SIO2=14.79; B2O3=51.27; BAO=4.01; ZNO=7.61; P2O5=2.26; ZRO2=10.17; TIO2=1.28; RO=8.18,12.632189437199113,1.8176090498744404,,20.781084330039135,1.3713373095799855,0.3250829733914482,False,0.0,0.0,20,1
N-LAF33,best_neighbor_mode_b,3481900409513,0.02342862276047672,0.08381422628205744,0.05263157894736842,ill_posed,SIO2=9.43; B2O3=39.08; ZNO=32.03; ZRO2=3.68; RO=32.03,SIO2=10.14; B2O3=37.85; CAO=2.66; Li2O=1.24; BAO=2.56; ZNO=17.83; ZRO2=2.48; TIO2=2.07; RO=23.07,SIO2=9.15; B2O3=46.97; CAO=2.32; BAO=0.52; ZNO=14.84; ZRO2=1.66; RO=23.81,SIO2=10.14; B2O3=37.85; CAO=2.66; Li2O=1.24; BAO=2.56; ZNO=17.83; ZRO2=2.48; TIO2=2.07; RO=23.07,27.30014900773046,5.323150773170064,,46.59419100178869,3.9052560680533217,0.1985152433458726,False,0.05,0.2,20,2
N-SF11,best_neighbor_mode_b,849000066692,0.020177596116468903,0.06484403010129167,0.1111111111111111,ill_posed,SIO2=44.16; B2O3=0.66; CAO=1.71; K2O=4.92; NA2O=12.80; BAO=3.94; TIO2=25.21; RO=5.65,SIO2=40.42; CAO=2.16; K2O=2.75; NA2O=16.87; BAO=4.65; P2O5=1.95; GEO2=0.95; TIO2=22.97; RO=7.03,SIO2=43.80; CAO=1.66; K2O=4.78; NA2O=13.04; BAO=4.37; TIO2=25.40; RO=6.28,SIO2=40.42; CAO=2.16; K2O=2.75; NA2O=16.87; BAO=4.65; P2O5=1.95; GEO2=0.95; TIO2=22.97; RO=7.03,16.00959516818361,5.849922308452331,,25.489087849840118,1.6528151797895003,0.1985152433458726,True,0.4,0.6,20,4
SF11,best_neighbor_mode_b,381400110723,0.00458211132898648,0.08175855998251429,0.05263157894736842,ill_posed,SIO2=57.02; AL2O3=2.88; NA2O=0.95; PBO=33.43; TIO2=5.43; RO=33.43,SIO2=18.56; B2O3=0.98; K2O=0.77; NA2O=7.55; PBO=15.66; Li2O=1.90; MgO=0.99; BAO=3.19; ZNO=5.08; P2O5=8.64; GEO2=9.33; TIO2=2.51; RO=24.53,SIO2=26.12; AL2O3=1.07; K2O=2.08; NA2O=3.21; PBO=22.18; Li2O=4.60; P2O5=10.18; TIO2=5.90; RO=23.61,SIO2=18.56; B2O3=0.98; K2O=0.77; NA2O=7.55; PBO=15.66; Li2O=1.90; MgO=0.99; BAO=3.19; ZNO=5.08; P2O5=8.64; GEO2=9.33; TIO2=2.51; RO=24.53,35.36322459176228,5.685830132475345,,74.64549674924046,6.102908323397352,1.4446460691338838,False,0.05,0.0,20,2
SF56A,best_neighbor_mode_b,2823100362595,0.014955499210096623,0.07791039294909655,0.14285714285714285,ill_posed,SIO2=58.47; K2O=1.92; NA2O=1.55; PBO=36.17; TIO2=1.81; RO=36.17,SIO2=31.54; B2O3=1.06; K2O=1.45; NA2O=3.90; PBO=21.64; Li2O=2.78; BAO=2.56; P2O5=4.83; GEO2=4.19; TIO2=1.49; RO=24.20,SIO2=41.62; K2O=1.42; PBO=27.22; TIO2=0.96; RO=27.88,SIO2=31.54; B2O3=1.06; K2O=1.45; NA2O=3.90; PBO=21.64; Li2O=2.78; BAO=2.56; P2O5=4.83; GEO2=4.19; TIO2=1.49; RO=24.20,27.298313558262592,6.2513551126874525,,88.75557112019999,6.9149814223962665,0.8260651866153443,False,0.0,0.0,20,5
N-LAF34,best_neighbor_mode_b,2852200365620,0.0012436744581531467,0.04609779284814883,0.08108108108108109,ill_posed,SIO2=11.34; B2O3=51.34; ZNO=5.21; ZRO2=7.93; TIO2=0.64; RO=5.46,SIO2=9.59; B2O3=70.11; ZNO=5.43; ZRO2=8.17; RO=5.22,SIO2=11.98; B2O3=66.61; ZNO=5.12; ZRO2=9.23; RO=5.95,SIO2=9.59; B2O3=70.11; ZNO=5.43; ZRO2=8.17; RO=5.22,8.806434830655846,1.796862199215168,,18.802927948973068,0.8667734775304283,0.5623351446188083,False,0.0,0.0,20,3
