glass_name,property_mode,rank,sciglass_id,distance,primary_plausible,in_mode_a_top20,in_stable_set
N-SF57,B,1,3548700426251,0.0021852361225159133,False,False,False
N-SF57,B,2,3548700426257,0.017769734584327797,False,False,False
N-SF57,B,3,3548700426262,0.019749053964755455,False,False,False
N-SF57,B,4,2748700361318,0.0217279179717999,False,False,False
N-SF57,B,5,805000063388,0.032227521330262396,False,False,False
N-SF57,B,6,3768700445683,0.033507566790194766,False,False,False
N-SF57,B,7,3548300426197,0.036085691809756924,True,False,False
N-SF57,B,8,2748700361320,0.04991597150095771,False,False,False
N-SF57,B,9,3548300426196,0.06506390499281399,True,False,False
N-SF57,B,10,2890700367563,0.06907274635301905,False,False,False
N-SF57,B,11,2748700361314,0.06933137288411366,False,False,False
N-SF57,B,12,2748700361319,0.06969424201836281,False,False,False
N-SF57,B,13,4140700486180,0.06980141751824696,False,False,False
N-SF57,B,14,2748700361316,0.07126159418096331,False,False,False
N-SF57,B,15,3548300426198,0.07192687477023821,True,False,False
N-SF57,B,16,899700095434,0.0756969112956934,False,False,False
N-SF57,B,17,805000063397,0.08143285184275513,True,False,False
N-SF57,B,18,1149600140605,0.08244522993065707,False,False,False
N-SF57,B,19,3546600425746,0.08364072806349127,False,False,False
N-SF57,B,20,899700095431,0.08485049166018276,False,False,False
N-SF57HT,B,1,3548700426251,0.0021852361225159133,False,False,False
N-SF57HT,B,2,3548700426257,0.017769734584327797,False,False,False
N-SF57HT,B,3,3548700426262,0.019749053964755455,False,False,False
N-SF57HT,B,4,2748700361318,0.0217279179717999,False,False,False
N-SF57HT,B,5,805000063388,0.032227521330262396,False,False,False
N-SF57HT,B,6,3768700445683,0.033507566790194766,False,False,False
N-SF57HT,B,7,3548300426197,0.036085691809756924,True,False,False
N-SF57HT,B,8,2748700361320,0.04991597150095771,False,False,False
N-SF57HT,B,9,3548300426196,0.06506390499281399,True,False,False
N-SF57HT,B,10,2890700367563,0.06907274635301905,False,False,False
N-SF57HT,B,11,2748700361314,0.06933137288411366,False,False,False
N-SF57HT,B,12,2748700361319,0.06969424201836281,False,False,False
N-SF57HT,B,13,4140700486180,0.06980141751824696,False,False,False
N-SF57HT,B,14,2748700361316,0.07126159418096331,False,False,False
N-SF57HT,B,15,3548300426198,0.07192687477023821,True,False,False
N-SF57HT,B,16,899700095434,0.0756969112956934,False,False,False
N-SF57HT,B,17,805000063397,0.08143285184275513,True,False,False
N-SF57HT,B,18,1149600140605,0.08244522993065707,False,False,False
N-SF57HT,B,19,3546600425746,0.08364072806349127,False,False,False
N-SF57HT,B,20,899700095431,0.08485049166018276,False,False,False
N-SF57HTultra,B,1,3548700426251,0.0021852361225159133,False,False,False
N-SF57HTultra,B,2,3548700426257,0.017769734584327797,False,False,False
N-SF57HTultra,B,3,3548700426262,0.019749053964755455,False,False,False
N-SF57HTultra,B,4,2748700361318,0.0217279179717999,False,False,False
N-SF57HTultra,B,5,805000063388,0.032227521330262396,False,False,False
N-SF57HTultra,B,6,3768700445683,0.033507566790194766,False,False,False
N-SF57HTultra,B,7,3548300426197,0.036085691809756924,True,False,False
N-SF57HTultra,B,8,2748700361320,0.04991597150095771,False,False,False
N-SF57HTultra,B,9,3548300426196,0.06506390499281399,True,False,False
N-SF57HTultra,B,10,2890700367563,0.06907274635301905,False,False,False
N-SF57HTultra,B,11,2748700361314,0.06933137288411366,False,False,False
N-SF57HTultra,B,12,2748700361319,0.06969424201836281,False,False,False
N-SF57HTultra,B,13,4140700486180,0.06980141751824696,False,False,False
N-SF57HTultra,B,14,2748700361316,0.07126159418096331,False,False,False
N-SF57HTultra,B,15,3548300426198,0.07192687477023821,True,False,False
N-SF57HTultra,B,16,899700095434,0.0756969112956934,False,False,False
N-SF57HTultra,B,17,805000063397,0.08143285184275513,True,False,False
N-SF57HTultra,B,18,1149600140605,0.08244522993065707,False,False,False
N-SF57HTultra,B,19,3546600425746,0.08364072806349127,False,False,False
N-SF57HTultra,B,20,899700095431,0.08485049166018276,False,False,False
SF57,B,1,190500000726,0.01394635641523577,False,False,False
SF57,B,2,365500005933,0.0195694204030432,False,False,False
SF57,B,3,3697700439986,0.02286273178638948,False,False,False
SF57,B,4,3697700440014,0.026015940954616346,False,False,False
SF57,B,5,3601900431285,0.029913690974404224,False,False,False
SF57,B,6,2823100362585,0.03477884847515948,False,False,False
SF57,B,7,3846200456217,0.04343999921145183,False,False,False
SF57,B,8,3604000431819,0.04343999921145183,False,False,False
SF57,B,9,3604000431812,0.04343999921145183,False,False,False
SF57,B,10,3697700440043,0.04343999921145183,False,False,False
SF57,B,11,2823100362571,0.04459166928771478,False,False,False
SF57,B,12,2823100362579,0.04459166928771478,False,False,False
SF57,B,13,2823100362573,0.0464389723164465,False,False,False
SF57,B,14,2823100362575,0.048573601287867425,False,False,False
SF57,B,15,3697700440024,0.05179730056552897,True,False,False
SF57,B,16,3697700439999,0.053151071260676044,True,False,False
SF57,B,17,3697700439997,0.05464402897567855,False,False,False
SF57,B,18,3697700439987,0.0546666345857399,False,False,False
SF57,B,19,3697700439998,0.05605632669297634,True,False,False
SF57,B,20,2823100362572,0.057495998891094136,False,False,False
SF57HTultra,B,1,190500000726,0.01394635641523577,False,False,False
SF57HTultra,B,2,365500005933,0.0195694204030432,False,False,False
SF57HTultra,B,3,3697700439986,0.02286273178638948,False,False,False
SF57HTultra,B,4,3697700440014,0.026015940954616346,False,False,False
SF57HTultra,B,5,3601900431285,0.029913690974404224,False,False,False
SF57HTultra,B,6,2823100362585,0.03477884847515948,False,False,False
SF57HTultra,B,7,3846200456217,0.04343999921145183,False,False,False
SF57HTultra,B,8,3604000431819,0.04343999921145183,False,False,False
SF57HTultra,B,9,3604000431812,0.04343999921145183,False,False,False
SF57HTultra,B,10,3697700440043,0.04343999921145183,False,False,False
SF57HTultra,B,11,2823100362571,0.04459166928771478,False,False,False
SF57HTultra,B,12,2823100362579,0.04459166928771478,False,False,False
SF57HTultra,B,13,2823100362573,0.0464389723164465,False,False,False
SF57HTultra,B,14,2823100362575,0.048573601287867425,False,False,False
SF57HTultra,B,15,3697700440024,0.05179730056552897,True,False,False
SF57HTultra,B,16,3697700439999,0.053151071260676044,True,False,False
SF57HTultra,B,17,3697700439997,0.05464402897567855,False,False,False
SF57HTultra,B,18,3697700439987,0.0546666345857399,False,False,False
SF57HTultra,B,19,3697700439998,0.05605632669297634,True,False,False
SF57HTultra,B,20,2823100362572,0.057495998891094136,False,False,False
N-LASF41,B,1,2756100361833,0.02053765862055273,False,False,False
N-LASF41,B,2,3920400463359,0.02053765862055273,False,False,False
N-LASF41,B,3,3140700403805,0.020571146478880243,False,False,False
N-LASF41,B,4,2756100361826,0.025701373472282553,False,False,False
N-LASF41,B,5,3920400463357,0.025701373472282553,False,False,False
N-LASF41,B,6,2756100361837,0.03671812379989039,False,False,False
N-LASF41,B,7,2756100361832,0.037141364891770653,False,False,False
N-LASF41,B,8,4025800474394,0.039859815970624615,False,False,False
N-LASF41,B,9,2756100361830,0.043472965636466444,False,False,False
