glass_name,nd,vd,density,tg
N-LAK28,0.4864153251637859,0.32107572683034613,0.166091846630611,0.16809627913816486
N-LAF2,0.26882275717488235,0.2003649069862945,0.35644557883990746,0.5045970160735989
SF3,0.2684127001211762,0.1326377469951302,0.5295577651015907,0.34546075532688436
N-LAK34,0.43490045450677417,0.45356166573212214,0.24149487724189242,0.26324752955056535
N-SF10,0.38854143474152875,0.23507765756860846,0.4239853339468051,0.17536447527047347
SF10,0.25270543594090217,0.5731042878246706,0.05313064966065286,0.216528770196181
P-SF69,0.24905737937790176,0.25719132701126285,0.3946090272475575,0.7021802984191013
N-KZFS8,0.7172622877116729,0.0850268488146135,0.12520324788001555,0.42630821457945034
N-LAK10,0.25838716962483044,0.27509754184913104,0.22381388274519567,0.4687496016305966
N-SF1,0.25581918712512497,0.33122723492732825,0.29247447917330127,0.4751083098226915
SF1,0.2962077855404046,0.15239773986152694,0.5441451646031594,0.1979534669951468
N-LAK8,0.5179730166311064,0.23785608629540445,0.2067928934383193,0.24669865813646008
N-BASF64,0.3081821440323159,0.3191201849509742,0.3726976710167099,0.0
N-SF15,0.30702877359574454,0.2922455794990841,0.371310211206829,0.44027714673296603
N-LAK14,0.18014111089405918,0.16479840595363138,0.3905418141743819,0.5498829748075715
P-LAK35,0.3173770663415066,0.2695212223127181,0.28561949357891353,0.3897460919041456
N-LAK9,0.10057225929484788,0.19028722603468426,0.37732588563445546,0.6419179644282124
LAK9G15,0.1236311804098337,0.28278878244475353,0.4617855760962827,0.5171372924398336
N-SF8,0.3628298760982352,0.25389171564806967,0.35809432161654264,0.37188925666922135
N-LAK12,0.57297392602469,0.1784433456232283,0.2424792957117173,0.15860792450007913
N-SF5,0.22829945700486398,0.46406822919531016,0.2998910340906933,0.20629794112598662
SF5,0.41844178567113594,0.2833746047385201,0.32175728482085675,0.15180522325665932
N-BAF10,0.0571944852885809,0.4153456323755075,0.5267943614780594,0.013310417157049882
N-BASF2,0.23678299482069298,0.19147639154965404,0.4184468456389158,0.28002342572797745
N-SSK5,0.18026057714883376,0.6210180719384872,0.13311187997610963,0.41354443931536994
N-KZFS5,0.25196671408703963,0.27959958755421277,0.26347937856358783,0.2919123988971606
N-BAF51,0.3981204412870377,0.2548555624269715,0.2701566462754865,0.45187591162139307
N-LAK7,0.2073841477392468,0.46553898175600567,0.30699657983307305,0.13386860447783014
N-LAK22,0.3793861593473519,0.2976525949403655,0.27033003516148285,0.31970990600970123
N-SF2,0.4151805751191531,0.26870688196280557,0.3161125429180415,0.0
SF2,0.27465235491911144,0.21088440258817007,0.47507393494996064,0.9986705534433297
N-LAK21,0.29604874614603544,0.266126249547085,0.43782500430687954,0.0
N-KZFS11,0.4417999201725891,0.20485699537825144,0.3542148974070244,0.11891870304805997
N-SSK20,0.23379947107718607,0.28966196167227576,0.20752428501283177,0.43881216154247843
N-SSK2,0.15190763946632402,0.3383690194045285,0.37537684685594686,0.5880282369910443
F2G12,0.39564855711095837,0.2974745807969458,0.3068768620920958,0.0
N-SK16,0.314274678144504,0.2619711465766887,0.4027706445490219,0.06994510243261796
N-F2,0.46485668356282306,0.17739709141400797,0.3536344741750509,0.19384409480648004
F2,0.3487553245350709,0.26235490740791106,0.3873796641790802,0.030202077558755588
F2HT,0.3487553245350709,0.26235490740791106,0.3873796641790802,0.030202077558755588
F2HTi,0.3487553245350709,0.26235490740791106,0.3873796641790802,0.030202077558755588
N-PSK53A,0.17410935940364441,0.5655353357461719,0.2651349613499905,0.4699422057500365
N-SSK8,0.30456866535622923,0.2952439170193164,0.23257838134175324,0.41675194056710235
N-KZFS4,0.20527546820506398,0.26155066825601,0.5500388650657415,0.256082091962796
N-SK4,0.3668280724280284,0.3837991745293876,0.16571769975531397,0.5556544850075257
P-SK60,0.33081523871508345,0.1923349896276537,0.24389690980891385,0.404725118375947
N-BAF52,0.2642948309834654,0.3798434267942985,0.3475792334771675,0.2407176974397953
N-SK2,0.30952661719640073,0.4698941849931378,0.22598028404047843,0.3019414995014742
N-SK2HT,0.30952661719640073,0.4698941849931378,0.22598028404047843,0.3019414995014742
N-BAF4,0.26882189579084226,0.40239043613300635,0.28520531786866404,0.8716470041497437
