composition,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_Bi2O3,oxide_WO3,oxide_RO,oxide_FemOn,oxide_R2O3,oxide_R2O5,oxide_RO2,ND300_pred,NUD300_pred,DENSITY_pred,TG_pred,PbO,glass_family,pareto_rank,distance_to_training,feasible,anomaly_oxide
AL2O3=3.90; B2O3=0.81; BAO=21.16; R2O3=4.50; R2O5=31.80; RO2=0.76; SIO2=31.38; ZRO2=4.78,31.38150636924266,3.897890690744657,0.8144241777430644,0.023574566355858723,0.004135087214307072,0.048506446810408894,0.0,0.0003884695556413096,0.002212856870414411,0.37042998817625516,21.16450053926958,0.002710152743135517,0.0017825930485337344,0.02501811632423582,4.782859429892897,0.3306861276997219,0.007428034796265287,0.012186757950282508,0.014161092701254227,0.055535798340964934,0.0034934520806906406,4.501653567496236,31.79561366344337,0.7593020214995828,1.946471095085144,35.54033279418945,1.972802942058233,642.3519287109375,0.0,uncertain,20,2.5805092995369256,True,False
BAO=18.81; CAO=0.63; R2O3=59.99; SIO2=17.64; TIO2=0.67; WO3=1.09,17.64110731223599,0.05840837248539244,0.05178983888412277,0.6321489888362293,0.00024812144636202597,0.004892634321663938,0.0,0.03967007304496146,0.0027428815201405664,0.10362589189475806,18.81145051147807,0.006373753477826081,0.0204468590422755,0.07114822547955643,0.21132949854767336,0.6711288676506273,0.07696113986271276,0.007569823382301719,1.0946714448913097,0.05453882634565653,3.30355721491782e-06,59.989309801601834,0.0006513557444727886,0.4497824742688416,1.9345215559005737,46.43012619018555,268.68659527332534,607.5132446289062,0.0,uncertain,21,1.3423442224818873,True,False
BAO=20.53; CAO=0.69; R2O3=59.13; SIO2=16.47; TIO2=0.70; WO3=1.24,16.4687035046163,0.06104787444625035,0.001174860073649982,0.6873747448717369,0.008377166550308622,0.004348644966295297,0.0,0.003888114615014299,0.002837689300589216,0.005626027373759428,20.530613862188705,0.004245156314968317,0.019453198327796857,0.49605204680353315,0.019180783780872294,0.6982558911419062,0.08512483662347005,0.012288899571217846,1.237294496195425,0.05606094535639145,1.007742813196782e-05,59.132007931631,0.0006738698749456126,0.46535937794773136,1.9287277460098267,46.54157257080078,230.6519398979451,607.639404296875,0.0,uncertain,22,1.353520503664309,True,False
BAO=18.87; CAO=0.63; R2O3=60.16; SIO2=17.69; TIO2=0.67; WO3=1.10,17.692267758628475,0.05940539094563851,0.05238177387058596,0.6339822651653736,0.004138553869241249,0.0049068233037670005,0.0,0.039785119034392906,0.0027508360685988002,0.005453831404110427,18.86600503509291,0.006392237809186338,0.01869255693300705,0.0671451869082114,0.020285395415698203,0.6730751883576087,0.0771843325569446,0.00759177640013083,1.0978460687277,0.05568300342892377,3.7460902963547607e-06,60.16328300033058,0.0006532447217380888,0.4510868749368852,1.9241187572479248,46.41413497924805,486.1791380538493,605.80615234375,0.0,uncertain,23,1.3391848966185782,True,False
BAO=19.09; R2O3=59.26; SIO2=20.59,20.589738051024064,0.07011858406852643,0.007843906545595847,0.17004525084000863,0.0004219825819683702,0.008325517861322976,0.0,0.004742390619560467,0.0014404816547247058,0.000426375099263936,19.08678737458623,0.00226479704324091,0.005451308050301996,0.009065760160200517,0.019949351320830394,0.30045376439255583,0.08175630797233416,0.00022759902649658126,0.26412171154392106,0.11432774970171905,0.0005140297657236439,59.25942637190117,0.0005966011564216984,0.001954733083809569,1.9175071716308594,45.38948440551758,291.6179076364438,643.5418701171875,0.0,uncertain,24,1.301862882092575,True,False
BAO=15.08; R2O3=60.21; RO2=4.28; SIO2=19.49,19.49095783838291,0.05896444940483089,0.09705373406298386,0.037964594908478866,0.003624549950445966,0.18517811187918504,0.0,0.019634306976703975,0.018403098673360423,0.10308104683564953,15.078972614143135,0.034441803206396185,0.02516840257181524,0.06823558644502896,0.093865786340677,0.0033877372705017985,0.07974983958394376,0.0011957583089450149,0.013753922445394053,0.05479024281962036,0.0002872528229784854,60.212403193324896,0.038637687360118834,4.280248442282015,1.905228853225708,51.8133544921875,532.0463350466912,616.20263671875,0.0,uncertain,25,1.437671830528449,True,False
BAO=17.80; R2O3=60.41; SIO2=20.76,20.75556838359049,0.055714884133757026,0.0033730167676581106,0.17955885968371066,0.0010982273080809837,0.008161932934962682,0.0,0.00033476436251823644,0.001408888220717668,9.797098359220383e-05,17.8010203905402,0.006806936137811163,0.013438506538500984,0.1376576755682358,0.15899455725403525,0.22404233727776196,0.0826904636279699,0.0002678239798176282,0.12261962413390728,0.022968544949169913,0.0004812895365821759,60.412817315446254,0.004744470581063661,0.006133136443212125,1.9039407968521118,44.91227340698242,647.244787411956,646.2181396484375,0.0,uncertain,26,1.3294441974043623,True,False
BAO=17.80; R2O3=60.40; SIO2=20.75,20.749775270539622,0.05569933348168923,0.003372075320664399,0.17950874278234674,0.00109792078046229,0.008159654847495649,0.0,0.00033467092601186725,0.0014084949841371125,9.794363878655143e-05,17.796051925131913,0.006805036245221012,0.041345882698665445,0.13761925375958436,0.1589501800812389,0.22397980453647331,0.0826673837876508,0.0002677492271264881,0.12258539961488982,0.022962134169419373,0.0004811552032483886,60.39595541728179,0.00474314634585436,0.006131424615710451,1.9039407968521118,44.91227340698242,624.3470276948494,646.2181396484375,0.0,uncertain,27,1.329546547063943,True,False
BAO=18.33; R2O3=60.14; SIO2=20.36,20.362757218503027,0.06203215176977524,0.0015003520354771713,0.25781803638051365,0.001999083427285649,0.003230718271704641,0.0,0.007810779062867682,0.0029638612484737107,0.32384068438538305,18.3337171761229,0.004550820398448536,0.013796411080564102,0.06098737215087828,0.016671398266101912,0.21105357716348525,0.0805804881795233,0.012298112867747365,0.02221632618185985,0.023072001215470688,0.00041287128898837954,60.13611331286284,0.053238367821183304,0.007338879315500957,1.902180552482605,45.58774948120117,710.8284880325973,639.629638671875,0.0,uncertain,28,1.3224138409117843,True,False
BAO=17.69; R2O3=60.05; SIO2=20.63; TEO2=0.66,20.62945517807082,0.05537635413046307,0.0033525219322973372,0.17846783953164042,0.0010915543534477188,0.008112340097674812,0.0,0.0003327302959935008,0.0014003276548757765,9.737570069942139e-05,17.69285935628267,0.00676557641591669,0.04110613357537876,0.13682125179946913,0.15802848815369014,0.22268103043209855,0.6620501743418855,0.00026619665070836903,0.1218745732842582,0.022828985445130866,0.0004783651663544042,60.04574213324365,0.004715642635597964,0.006095870805266287,1.8986202478408813,45.453250885009766,624.351419815292,628.1231689453125,0.0,uncertain,29,1.3320553760016076,True,False
