composition,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_Bi2O3,oxide_WO3,oxide_RO,oxide_FemOn,oxide_R2O3,oxide_R2O5,oxide_RO2,ND300_pred,NUD300_pred,DENSITY_pred,TG_pred,PbO,glass_family,pareto_rank,distance_to_training,feasible,anomaly_oxide
BAO=29.58; K2O=1.55; R2O3=2.75; R2O5=47.66; RO2=0.92; SIO2=8.38; TEO2=6.60; TIO2=1.45,8.384518803049671,0.010912252670576777,0.11896243110459419,0.006785593729847704,1.5515605435817612,0.3048901529394729,0.0,0.015220890134959135,0.003121433270527556,0.26296408909511365,29.581548809740056,0.05303661063583726,0.000785082968291613,0.0007157574293466066,0.17244551358355198,1.4527712482020831,6.598721880515253,9.38017643161709e-05,0.020431348806770222,0.031593423634568865,0.08633259428650288,2.754885358348659,47.66275087460172,0.9249515059065269,2.0545260906219482,30.668474197387695,2.772335784165344,455.98211669921875,0.0,uncertain,11,2.3821836063068416,True,False
BAO=20.17; R2O3=37.10; R2O5=34.15; SIO2=8.01,8.005275059606491,0.008630646367441198,0.0793650500843107,0.03946075326213053,0.012225151308444069,0.0008266606293563548,0.0,0.04217909846690907,0.22317989058022522,0.003187797159120903,20.172866819823692,0.007641036538428729,0.0039696859034386,0.046139015552644776,0.02715968543334781,0.03927559476637306,0.005769518163266928,0.004405008875757245,0.018068562687889447,0.00607380188370341,0.0005763411813339223,37.09621182857732,34.14558264826233,0.011930344886045252,2.041599750518799,31.13102912902832,2.01014440955196,598.9874877929688,0.0,uncertain,12,1.971637167029696,True,False
B2O3=3.54; BAO=31.89; MgO=4.47; R2O5=50.14; SIO2=6.90; SRO=0.59; TIO2=1.50,6.901014804174466,0.30282687471159797,3.535081569303115,0.03815290590370617,0.006497116675473639,0.04226579438157035,0.0,0.012223745188619697,4.469441799840838,0.5915832222549642,31.891257746052837,0.008635510707788292,0.003573295529524822,0.07262231488178497,0.2845694055905545,1.5022102106132151,5.194664377470722e-06,0.00681778184870435,0.002619343687581723,0.0024648622535658163,0.0005411741314046906,0.18469937330692032,50.13982669965353,0.0010692546438666084,2.029003620147705,34.418949127197266,2.4813228104991274,498.86614990234375,0.0,uncertain,13,2.9884073458804905,True,False
BAO=24.72; GEO2=1.53; R2O3=23.66; R2O5=35.83; SIO2=8.40; ZRO2=4.37,8.395110240238719,0.013282418357667166,0.07503453056245445,0.188613867215077,0.18757265014634802,0.007687308590978485,0.0,0.009033706125550203,0.0035378245731301373,0.36869072658920315,24.717508497644406,0.011290310773605233,0.013736468797858541,1.5313425743708986,4.367289890399665,0.08945517193764346,5.112130950754011e-05,0.0019540523832387744,0.28799899389924966,0.07677962509312888,0.07024286098789674,23.660572440626705,35.83433327575931,0.08888144361776455,2.0027689933776855,29.336265563964844,2.3328956218568813,606.1317138671875,0.0,uncertain,14,2.698977686511342,True,False
BAO=16.23; R2O3=49.28; R2O5=28.25; SIO2=5.54,5.542279493142975,0.2927302746656873,0.06053268422237542,0.004998155648684008,0.0007793878351037283,0.000621242287764792,0.0,0.0017221886230782632,0.0002305114621361782,0.11127432307704684,16.234944524869057,0.01643603341850646,0.007572594177757121,0.0006704423161872852,0.0017604927455726165,0.10846239600190175,0.001369827789176829,0.001381306973718268,0.004945305767506525,0.00609783674877179,0.00040202193603439395,49.27860176844296,28.247114592723037,0.07507259512496622,1.9777896404266357,36.7385368347168,4.053378172573428,559.9981689453125,0.0,uncertain,15,1.5335959421328054,True,False
R2O3=76.82; RO2=9.38; SIO2=12.89,12.890548492551652,0.018929832180814742,0.3944567736783291,0.028762615247008662,0.02567819205515693,0.01649061534162591,0.0,0.017022507709888286,0.014375657913928166,0.010747123182120812,0.23527292574551964,0.026234156988714116,0.011192663940258966,0.06012682340220814,0.004037840903870608,0.012413502546988706,1.321875250604997e-05,1.2870966123247396e-06,0.02019476186121516,0.0015649708098192912,0.0004645797608455247,76.81929473981356,0.0170646114302342,9.375112107087128,1.9534249305725098,43.87664031982422,5.135625361042861,545.2601928710938,0.0,uncertain,16,0.9869782873722001,True,False
B2O3=22.52; BAO=22.74; CAO=3.22; R2O3=6.73; R2O5=38.01; SIO2=5.96,5.958688025489076,0.025980021063262092,22.524270407827256,3.22441132948761,0.005768990681202483,0.015138746602880242,0.0,0.06151313310377068,0.030266244431030653,0.17485734429935404,22.737358325806863,0.055456593299846355,0.06688698366550724,4.306798817995482e-05,0.2008175149884503,0.026759816655390612,0.0005689942911551204,0.00034291172403320627,0.014950593823663443,0.1367921158240227,3.778503532982674e-07,6.72787409890624,38.01011157586488,0.0011427863259729108,1.9310925006866455,36.86445617675781,0.5365586134885412,457.564697265625,0.0,uncertain,17,2.053027969307387,True,False
B2O3=21.93; BAO=19.67; CAO=2.49; K2O=1.09; Li2O=0.96; R2O3=2.45; R2O5=32.75; SIO2=10.85; TIO2=0.96; ZRO2=6.17,10.852629324640569,0.0041650724654714675,21.930112980924296,2.4888109309076243,1.086682255441849,0.013281311148026205,0.0,0.9602076479495805,0.4026333023452536,0.0023133710133708962,19.672821288410464,0.1294869127550958,0.003282555320375995,0.08277153637147916,6.169126574268381,0.9612367571566292,0.0,0.00020475928420138402,0.0033459872958092403,0.034199967651997176,7.749187435420951e-05,2.4499547815422393,32.75174750368895,0.0009076875439640829,1.9049638509750366,38.453460693359375,0.06407114344914033,546.5684814453125,0.0,uncertain,18,2.951889145759394,True,False
BAO=17.80; CAO=2.31; MgO=3.47; R2O3=58.74; RO2=7.94; SIO2=8.56,8.559753679219968,0.00689066695162904,0.14243009406849302,2.3127110011790193,0.4271331904261043,0.003618540696846856,0.0,0.010242973267492924,3.4741136038173996,0.29707448410335746,17.800483525505868,0.03469011068188899,0.06893388682366196,0.00022537019174305987,0.007032478043032856,0.022337554465255836,7.145166994245553e-10,0.003963275638092438,0.031099288345184228,0.052611724768554684,8.94222413626839e-05,58.743691019532285,0.05673964869528708,7.944134460622945,1.8943036794662476,48.95947265625,124.58026223797242,562.6552124023438,0.0,uncertain,19,2.1842107458431075,True,False
BAO=18.72; CAO=2.22; MgO=3.33; R2O3=57.42; RO2=7.62; SIO2=9.82,9.815010110395015,0.0071666119246383145,0.13669249510695183,2.219546643425183,0.39970732083767196,0.0034727727994070152,0.0,0.06736207160059998,3.3341637516748244,0.03441292106270797,18.719943112929315,0.03329266764623082,0.011102830291326306,0.003061944217866947,0.007614470191873718,0.0214377170387525,6.857333843573708e-10,0.003803620571274288,0.02984649661123936,0.05130592095322844,6.364008496331712e-05,57.42266208711493,0.0542147800681257,7.624116012768136,1.8896886110305786,48.47576904296875,130.73193553667113,578.2335815429688,0.0,uncertain,20,2.097482030279314,True,False
