composition,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_Bi2O3,oxide_WO3,oxide_RO,oxide_FemOn,oxide_R2O3,oxide_R2O5,oxide_RO2,ND300_pred,NUD300_pred,DENSITY_pred,TG_pred,PbO,glass_family,pareto_rank,distance_to_training,feasible,anomaly_oxide
BAO=0.56; R2O3=60.03; R2O5=1.81; RO2=2.80; SIO2=33.75,33.74650540528922,0.35726190235929783,0.3089973036899698,0.13545662956676183,0.000949342151884958,0.013497099930714313,0.0,0.0020977312959565464,0.000280777088943636,0.13848597867332404,0.555027700324294,0.02002009606924562,0.009073354866713346,0.0005369580807286652,0.002144388064816705,0.021811421987834013,0.0016688288269812528,9.41932456403412e-05,0.006023685522919294,0.04004926490781478,0.0004896873580392155,60.029069290082305,1.8055820670621507,2.8048768935544266,1.8176721334457397,48.14967346191406,17.305114066537406,650.9767456054688,0.0,uncertain,31,0.28918881173599315,True,False
BAO=15.82; R2O3=48.50; R2O5=0.99; RO2=6.35; SIO2=24.16; ZRO2=3.21,24.15556297878808,0.0006073876307124873,0.06566838110648208,0.05123375155457458,0.01625319177290852,0.23346582660759072,0.0,0.034271302629492656,0.18510885993963871,0.0,15.821723480176747,0.31216595564569916,0.009377343577564472,0.001037698263078956,3.2102211077977123,0.014975360064620465,2.8371943762729478e-08,0.0038890870022699007,0.01198645478289215,0.02548451728616246,0.0006706287774647981,48.50428017547303,0.9873040403209274,6.3547124424304196,1.8045756816864014,47.21650695800781,35.340826981806,715.0056762695312,0.0,uncertain,32,1.7981268640103416,True,False
BAO=0.62; R2O5=49.11; SIO2=47.37; ZNO=1.07,47.37048496691287,0.46811861195137455,0.14308096973036297,0.02925092285839883,0.00031945693523181205,0.01877298047633893,0.0,0.05817315284305535,0.2577169624261888,0.03125780927675089,0.623149680729453,1.0749116211692409,0.13807682172654354,0.09769074979877565,0.27666759158009024,0.03960902488788814,5.134291999353048e-06,0.0063348938588880434,0.002578565922269458,0.17110119049844544,0.005345732143646439,0.00823018857917805,49.106838948045414,0.07228402335760874,1.8025568723678589,42.66330337524414,3.261935047457525,647.9696655273438,0.0,uncertain,33,0.43989369178385607,True,False
AL2O3=1.85; B2O3=0.88; BAO=2.54; CAO=0.61; MgO=0.55; R2O3=56.39; R2O5=1.30; RO=3.05; RO2=1.66; SIO2=19.26; ZNO=0.71; ZRO2=10.55,19.256909790684958,1.8533069032275133,0.8846161935477526,0.6104045074729946,0.2136586130157755,0.05357842854129612,0.0,0.12512135496138097,0.5486446595035903,0.23237132069827857,2.542539009091512,0.7093856174611538,0.00016566500418450204,0.011508746534540907,10.547698127289662,7.503199360154225e-08,2.998152830739938e-06,0.00020345581882998524,0.012198587791518866,3.0493359454812383,4.8225668457398775e-06,56.38924374020522,1.3029370630311343,1.6561643748857917,1.7977769374847412,48.38518524169922,21.682910114365843,688.7180786132812,0.0,lanthanum,34,1.3866254363374564,True,False
AL2O3=0.57; BAO=24.78; R2O3=42.24; RO=0.87; SIO2=22.02; TIO2=1.17; ZRO2=7.53,22.021676867212662,0.5658476808334579,0.08996214186482958,0.06805846509621581,0.005664587309280871,0.0,0.0,0.011009663382936984,0.20270223785094876,0.15574154446807814,24.777886601367978,0.08321840606090337,0.07608785295388104,0.000198974150354956,7.530688989938426,1.1734566341956192,1.760602567713521e-08,0.005095352483080082,0.09768616575594966,0.8706104256360089,0.0023409787324869956,42.23669331270881,0.011048330683805804,0.01432476970826534,1.786666989326477,47.08300018310547,32.24350242413921,730.7445068359375,0.0,uncertain,35,2.132170134081994,True,False
B2O3=0.74; BAO=20.99; R2O3=29.64; R2O5=5.30; RO=0.91; SIO2=34.60; ZRO2=7.51,34.597778266151074,0.009519039716401546,0.7418856535523723,0.010042382461166646,8.489597155990239e-06,0.0037372401623442615,0.0,0.00021780765214479613,0.001341702630117999,0.10469435579532804,20.991189134529808,0.012922681921226161,0.014230682560086024,0.053649970971528974,7.511863097071913,0.03695745928512298,2.72644721937848e-06,0.004741663234053913,0.006058100459115066,0.912601376569994,4.328960537075945e-07,29.639351730284773,5.3017527026017035,0.04545330344928671,1.7849853038787842,43.98136901855469,0.7912836467831799,752.9193725585938,0.0,uncertain,36,1.6590727833126984,True,False
B2O3=0.54; BAO=0.56; R2O3=60.79; R2O5=1.83; RO2=0.93; SIO2=34.55,34.54552894229967,0.3617817167316631,0.5417561885461037,0.13717032704501203,7.556253557478688e-05,0.01346088840742984,0.0,0.0021242702467884475,0.0064588837430100444,0.14023800124456717,0.5620495018665801,0.04710719291485884,0.009188144267601932,0.0005437512787568005,0.002171517282713383,0.02130836282727226,0.001689941619773868,0.006135070475812217,0.007643510426607862,0.04142220867372463,0.0004958825217110624,60.78851284772243,1.82842496109395,0.9347123262283921,1.778847575187683,47.89130783081055,17.29792798549181,663.0204467773438,0.0,uncertain,37,0.24022283482917853,True,False
B2O3=6.81; BAO=23.94; CAO=0.66; R2O3=41.06; R2O5=2.06; RO=0.92; SIO2=19.92; ZRO2=3.85,19.92289622674579,0.23928154321986975,6.81143348849006,0.6574031980677958,0.004992121455678455,0.015002329781266702,0.0,0.001179548114673447,0.3355841241694186,0.12000614832627877,23.939671199701408,0.0028301373050787014,0.018769436564044457,0.03773843265497515,3.8479046127622136,0.0012927733857971816,0.0,0.00035666263497774036,0.003904189384722389,0.9206939838943962,1.689833904644163e-05,41.058486164592054,2.060434907652397,0.00012187275806176707,1.7698414325714111,52.16398239135742,61.8744313051163,655.3997802734375,0.0,uncertain,38,1.9337199593003283,True,False
BAO=1.19; CAO=0.59; R2O5=48.98; SIO2=48.03,48.032959811757244,0.03370946925897021,0.13989761577369858,0.5938830330019944,0.018246792343392017,0.018864596296217357,0.0,0.01072424437890343,0.1724319861081989,0.009176399793584582,1.190590411571823,0.49410989528410515,0.13688650675827163,0.00019298284394408296,0.03765288218629685,0.03506340786924479,2.1500600689951088e-08,0.00627947538962979,0.026577408741082775,9.30036558640023e-05,0.017995706601119987,0.0003924535215766858,48.984765919499196,0.03950597586502538,1.768056035041809,44.79596710205078,3.279804173217925,641.5301513671875,0.0,uncertain,39,0.3808135544798327,True,False
BAO=20.69; R2O3=40.40; R2O5=3.24; SIO2=34.39,34.3888761310634,0.02805141033510245,0.09900341507986027,0.4309721533601103,0.012843893514082196,0.013350187900625613,0.0,0.007589384649556308,0.11748659794606879,0.006493998576591897,20.686118172819498,0.35080747846830557,0.09687249902345475,0.0001365710237206198,0.026646372087378068,0.024813840494670676,1.5215648120957833e-08,0.004162967539056349,0.01929236814984109,6.58172728286009e-05,0.012735287877729649,40.4046077446807,3.2411159146203286,0.027957778301432493,1.761997938156128,38.82725143432617,0.07592806553215059,715.9462280273438,0.0,uncertain,40,1.7931261089730852,True,False
B2O3=6.80; BAO=23.04; R2O3=39.34; RO=0.55; SIO2=19.16; TIO2=3.88; ZRO2=6.86,19.158222086295183,0.007897283596457689,6.80322157064731,0.06099463385563392,0.005173138568445658,0.00010103139301997911,0.0,0.010063378371666959,0.00024709298428550583,0.07880904508072464,23.0354999335498,0.0026504650626501427,0.010309416959147418,0.000177114089005862,6.858600994517899,3.8807667683614273,0.0001076539968691255,0.005131520952389501,0.0892111011949135,0.5483754417245105,0.002131469970549263,39.341799255100234,0.03367217921441514,0.0668374245134654,1.7601510286331177,51.527191162109375,62.3600246389243,670.4517211914062,0.0,uncertain,41,1.9914898998606325,True,False
BAO=1.55; GEO2=1.57; MgO=0.56; R2O3=9.00; R2O5=66.36; RO=1.24; RO2=1.25; SIO2=9.11; TIO2=8.50,9.113741698658293,0.008928997004453834,0.14738545491543606,0.009217015059745615,0.13660439679947703,0.004760895018875814,0.0,0.004465647114965818,0.5567530027357181,0.34833007494828233,1.546689169750075,0.015210523496140741,0.006421331365269582,1.5716699912618666,0.1513477989534032,8.5007218683526,7.824137246776736e-10,0.009782536568277872,0.01628997333402909,1.2383451101915148,0.0003763623553284938,8.99984643038199,66.36285382525118,1.2502578957006663,2.332822561264038,25.899076461791992,3.7773596979508643,461.3979797363281,0.0,uncertain,42,0.8721270775355272,False,True
BAO=1.95; R2O3=12.90; R2O5=61.54; SIO2=7.67; TIO2=0.55; ZRO2=13.64,7.6725032855083475,0.22848476888426714,0.283004256874697,0.031825538985734855,0.0012638844559426825,0.02028724636013786,0.0,0.12071837504615106,0.03302909721195857,0.1687773715892136,1.9518267446975834,0.2404065298621509,0.006869418671416631,0.39797049575565224,13.637920464068529,0.5521718986635061,0.010694450417705666,0.010722533594919814,0.008651115139635887,0.0784137157017314,0.000951094134117219,12.896297827379197,61.536440950917324,0.11076893608010005,2.3011691570281982,33.865447998046875,4.257469314040983,556.3074340820312,0.0,lanthanum,43,3.1717448689995584,False,True
BAO=1.94; R2O3=13.13; R2O5=61.24; SIO2=7.64; TIO2=0.55; ZRO2=13.57,7.63549485247415,0.19166320400127382,0.2816391816574961,0.031672028027902435,0.21533052067275454,0.020189390527376533,0.0,0.11983461464063178,0.03286978087322757,0.16796327144201065,1.9424120795371356,0.24843393771452368,0.007175633726415264,0.39605087918545434,13.572137753075953,0.549508489346543,0.010642865578000383,0.010259642830109841,0.00860938635785471,0.07803548598471176,0.000654320927315495,13.12956902275432,61.23961901818563,0.11023464047921937,2.3000524044036865,33.93597412109375,4.213466601072805,553.2055053710938,0.0,lanthanum,44,3.1451090255257843,False,True
BAO=1.66; GEO2=5.34; MgO=0.61; R2O3=9.84; R2O5=70.18; RO2=1.37; SIO2=9.96,9.964000816599365,0.009762020516434987,0.16100735554410703,0.010076908981898646,0.06971126505388842,0.00520505884677488,0.0,0.0018540601843422665,0.6086948212192074,0.3863846474397658,1.6582147226849067,0.02787345843850081,0.007020404251375761,5.343743124458471,0.16546766873854188,0.10592492533699475,1.5106843414049749e-07,0.0106970072149617,0.011951108013987105,0.06190040840101929,1.239427929438393e-05,9.839479781920607,70.18411820178531,1.3668996890218232,2.282640218734741,28.778392791748047,3.7580532901817447,488.8450622558594,0.0,uncertain,45,0.740443874638972,False,True
BAO=1.21; GEO2=5.08; R2O3=10.78; R2O5=69.60; RO=1.56; SIO2=9.68; TIO2=1.21,9.684858561715144,0.015097023457026803,0.1577542184107311,0.009794603596015482,0.07427110541682498,0.026981599686416398,0.0,0.0018021185446260033,0.005364579810659662,0.38204479951517284,1.2081214891350425,0.03425020143034398,0.00682372708233508,5.078268953143721,0.1042355262391936,1.2052137814829953,6.6197071177217955e-06,0.0001339658033476207,0.011616296797007717,1.5565578351578775,1.2047052599647472e-05,10.78499096529456,69.59736461778417,0.05443536373709347,2.2733590602874756,32.58655548095703,3.7405099328113844,470.0045166015625,0.0,uncertain,46,0.6473327012934645,False,True
BAO=1.20; GEO2=5.05; R2O3=11.14; R2O5=70.48; RO=1.55; SIO2=9.64,9.636059347424112,0.015123403570685699,0.15695934031721184,0.009745251408089153,0.07389687469721541,0.02836858226091397,0.0,0.006499934803263321,0.005337549237307091,0.38011978575048927,1.2020341127358705,0.03407762452501699,0.0009957687367072887,5.0526810177812385,0.1037103134289836,0.04652151142944324,1.5292499364791358e-07,0.009302509608117387,0.011557765621456401,1.5487147883162309,1.16186792452475e-05,11.137808210705389,70.48395751424478,0.05651702179323156,2.2729296684265137,31.95244026184082,3.7275630335360175,472.4414367675781,0.0,uncertain,47,0.6494333280260239,False,True
